date,product,quantity,price
01-01-2026,Widget A,15,20
01-01-2026,Widget B,10,15.5
02-01-2026,Gadget X,5,85
02-01-2026,Widget C,12,45
03-01-2026,Gadget Y,2,125
03-01-2026,Widget A,8,20
04-01-2026,Widget B,,15.5
04-01-2026,Gadget X,4,85
05-01-2026,Widget C,10,45
05-01-2026,Gadget Y,1,125
06-01-2026,Widget A,20,20
06-01-2026,Widget B,n/a,15.5
07-01-2026,Gadget X,3,85
07-01-2026,Widget C,15,45
08-01-2026,Gadget Y,5,125
08-01-2026,Widget A,12,20
09-01-2026,Widget B,7,15.5
09-01-2026,Gadget X,0,85
10-01-2026,Widget C,9,45
10-01-2026,Gadget Y,2,125
11-01-2026,Widget A,14,20
11-01-2026,Widget B,6,15.5
12-01-2026,Gadget X,MISSING,85
12-01-2026,Widget C,11,45
13-01-2026,Gadget Y,4,125
13-01-2026,Widget A,9,20
14-01-2026,Widget B,18,15.5
14-01-2026,Gadget X,1,85
15-01-2026,Widget C,7,45
15-01-2026,Gadget Y,3,125
16-01-2026,Widget A,10,20
16-01-2026,Widget B,5,15.5
17-01-2026,Gadget X,8,85
17-01-2026,Widget C,20,45
18-01-2026,Gadget Y,1,125
18-01-2026,Widget A,6,20
19-01-2026,Widget B,12,15.5
19-01-2026,Gadget X,5,85
20-01-2026,Widget C,4,45
20-01-2026,Gadget Y,6,125
21-01-2026,Widget A,15,20
21-01-2026,Widget B,3,15.5
22-01-2026,Gadget X,10,85
22-01-2026,Widget C,8,45
23-01-2026,Gadget Y,2,125
23-01-2026,Widget A,,20
24-01-2026,Widget B,9,15.5
24-01-2026,Gadget X,4,85
25-01-2026,Widget C,12,45
25-01-2026,Gadget Y,5,125
26-01-2026,Widget A,7,20
26-01-2026,Widget B,11,15.5
27-01-2026,Gadget X,2,85
27-01-2026,Widget C,14,45
28-01-2026,Gadget Y,1,125
28-01-2026,Widget A,18,20
29-01-2026,Widget B,6,15.5
29-01-2026,Gadget X,9,85
30-01-2026,Widget C,10,45
30-01-2026,Gadget Y,3,125
31-01-2026,Widget A,5,20
31-01-2026,Widget B,15,15.5
01-02-2026,Gadget X,7,85
01-02-2026,Widget C,11,45
02-02-2026,Gadget Y,4,125
02-02-2026,Widget A,12,20
03-02-2026,Widget B,8,15.5
03-02-2026,Gadget X,3,85
04-02-2026,Widget C,20,45
04-02-2026,Gadget Y,2,125
05-02-2026,Widget A,9,20
05-02-2026,Widget B,14,15.5
06-02-2026,Gadget X,1,85
06-02-2026,Widget C,16,45
07-02-2026,Gadget Y,5,125
07-02-2026,Widget A,10,20
08-02-2026,Widget B,ERROR,15.5
08-02-2026,Gadget X,6,85
09-02-2026,Widget C,7,45
09-02-2026,Gadget Y,1,125
10-02-2026,Widget A,13,20
10-02-2026,Widget B,4,15.5
11-02-2026,Gadget X,9,85
11-02-2026,Widget C,12,45
12-02-2026,Gadget Y,3,125
12-02-2026,Widget A,11,20
13-02-2026,Widget B,7,15.5
13-02-2026,Gadget X,2,85
14-02-2026,Widget C,18,45
14-02-2026,Gadget Y,5,125
15-02-2026,Widget A,8,20
15-02-2026,Widget B,10,15.5
16-02-2026,Gadget X,5,85
16-02-2026,Widget C,6,45
17-02-2026,Gadget Y,2,125
17-02-2026,Widget A,14,20
18-02-2026,Widget B,12,15.5
18-02-2026,Gadget X,4,85
19-02-2026,Widget C,9,45
19-02-2026,Gadget Y,1,125
20-02-2026,Widget A,20,20
20-02-2026,Widget B,8,15.5
21-02-2026,Gadget X,3,85
21-02-2026,Widget C,15,45
22-02-2026,Gadget Y,4,125
22-02-2026,Widget A,11,20
23-02-2026,Widget B,5,15.5
23-02-2026,Gadget X,7,85
24-02-2026,Widget C,10,45
24-02-2026,Gadget Y,2,125
25-02-2026,Widget A,16,20
25-02-2026,Widget B,9,15.5
26-02-2026,Gadget X,1,85
26-02-2026,Widget C,13,45
27-02-2026,Gadget Y,5,125
27-02-2026,Widget A,12,20
28-02-2026,Widget B,18,15.5
01-03-2026,Gadget X,6,85
01-03-2026,Widget C,8,45
02-03-2026,Gadget Y,3,125
02-03-2026,Widget A,10,20
03-03-2026,Widget B,7,15.5
03-03-2026,Gadget X,2,85
04-03-2026,Widget C,14,45
04-03-2026,Gadget Y,1,125
05-03-2026,Widget A,15,20
05-03-2026,Widget B,11,15.5
06-03-2026,Gadget X,4,85
06-03-2026,Widget C,12,45
07-03-2026,Gadget Y,5,125
07-03-2026,Widget A,8,20
08-03-2026,Widget B,10,15.5
08-03-2026,Gadget X,7,85
09-03-2026,Widget C,20,45
09-03-2026,Gadget Y,2,125
10-03-2026,Widget A,9,20
10-03-2026,Widget B,14,15.5
11-03-2026,Gadget X,5,85
11-03-2026,Widget C,16,45
12-03-2026,Gadget Y,4,125
12-03-2026,Widget A,12,20
13-03-2026,Widget B,3,15.5
13-03-2026,Gadget X,10,85
14-03-2026,Widget C,7,45
14-03-2026,Gadget Y,1,125
15-03-2026,Widget A,13,20
15-03-2026,Widget B,6,15.5
16-03-2026,Gadget X,9,85
16-03-2026,Widget C,11,45
17-03-2026,Gadget Y,3,125
17-03-2026,Widget A,14,20
18-03-2026,Widget B,15,15.5
18-03-2026,Gadget X,2,85
19-03-2026,Widget C,18,45
19-03-2026,Gadget Y,5,125
20-03-2026,Widget A,5,20
20-03-2026,Widget B,12,15.5
21-03-2026,Gadget X,8,85
21-03-2026,Widget C,6,45
22-03-2026,Gadget Y,2,125
22-03-2026,Widget A,11,20
23-03-2026,Widget B,9,15.5
23-03-2026,Gadget X,4,85
24-03-2026,Widget C,12,45
24-03-2026,Gadget Y,6,125
25-03-2026,Widget A,16,20
25-03-2026,Widget B,7,15.5
26-03-2026,Gadget X,1,85
26-03-2026,Widget C,15,45
27-03-2026,Gadget Y,3,125
27-03-2026,Widget A,10,20
28-03-2026,Widget B,5,15.5
28-03-2026,Gadget X,6,85
29-03-2026,Widget C,9,45
29-03-2026,Gadget Y,4,125
30-03-2026,Widget A,12,20
30-03-2026,Widget B,11,15.5
31-03-2026,Gadget X,3,85
31-03-2026,Widget C,14,45
01-04-2026,Gadget Y,1,125
01-04-2026,Widget A,18,20
02-04-2026,Widget B,4,15.5
02-04-2026,Gadget X,5,85
03-04-2026,Widget C,10,45
03-04-2026,Gadget Y,2,125
04-04-2026,Widget A,7,20
